MSN,YYYYMM,Year,Month,Value,Column_Order,Description,Unit
FFPRBUS,199211,1992,11,4.728378,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199212,1992,12,4.916212,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199213,1992,13,57.655057,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199301,1993,01,4.811233,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199302,1993,02,4.420661,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199303,1993,03,4.896102,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199304,1993,04,4.612757,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199305,1993,05,4.555786,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199306,1993,06,4.606631,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199307,1993,07,4.447592,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199308,1993,08,4.596371,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199309,1993,09,4.590486,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199310,1993,10,4.771271,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199311,1993,11,4.698636,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199312,1993,12,4.814556,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199313,1993,13,55.822082,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199401,1994,01,4.728844,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199402,1994,02,4.519652,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199403,1994,03,5.143321,1,Total Fossil Fuels Production,Quadrillion Btu
FFPRBUS,199404,1994,04,4.811271,1,Total Fossil Fuels Production,Quadrillion Btu
