"","Year","State","TotalVotes","Candidate1Votes","Candidate1%","Candidate1EV","Candidate2Votes","Candidate2%","Candidate2EV","Candidate3Votes","Candidate3%","Candidate3EV","Candidate4Votes","Candidate4%","Candidate4EV"
"23",1824,"Rhode Island","2,344","2,144","91.5","4","Â","Â","Â","Â","Â","Â","Â","Â","Â"
"24",1824,"South Carolina","11 electors chosen by  state legislature and awarded to Andrew Jackson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",1824,"Tennessee","20,725","216","1.0","Â","20,197","97.5","11","Â","Â","Â","312","1.5","Â"
"26",1824,"Vermont","7 electors chosen by  state legislature and awarded to John Quincy Adams",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",1824,"Virginia","15,371","3,419","22.2","Â","2,975","19.4","Â","419","2.7","Â","8,558","55.7","24"
"41",1828,"Alabama","18,618","16,736","89.9","5","1,878","10.1","Â",NA,NA,NA,NA,NA,NA
"51",1828,"Connecticut","19,378","4,448","23.0","Â","13,829","71.4","8",NA,NA,NA,NA,NA,NA
"61",1828,"Delaware","3 electors chosen by state legislature and awarded to John Quincy Adams",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",1828,"Georgia","20,004","19,362","96.8","9","642","3.2","Â",NA,NA,NA,NA,NA,NA
"81",1828,"Illinois","14,222","9,560","67.2","3","4,662","32.8","Â",NA,NA,NA,NA,NA,NA
"91",1828,"Indiana","39,210","22,201","56.6","5","17,009","43.4","Â",NA,NA,NA,NA,NA,NA
"101",1828,"Kentucky","70,776","39,308","55.5","14","31,468","44.5","Â",NA,NA,NA,NA,NA,NA
"111",1828,"Louisiana","8,687","4,605","53.0","5","4,082","47.0","Â",NA,NA,NA,NA,NA,NA
"121",1828,"Maine","34,789","13,927","40.0","1","20,773","59.7","8",NA,NA,NA,NA,NA,NA
"131",1828,"Maryland","45,796","22,782","49.7","5","23,014","50.3","6",NA,NA,NA,NA,NA,NA
"141",1828,"Massachusetts","39,074","6,012","15.4","Â","29,836","76.4","15",NA,NA,NA,NA,NA,NA
"151",1828,"Mississippi","8,344","6,763","81.1","3","1,581","18.9","Â",NA,NA,NA,NA,NA,NA
"161",1828,"Missouri","11,654","8,232","70.6","3","3,422","29.4","Â",NA,NA,NA,NA,NA,NA
"171",1828,"New Hampshire","44,035","20,212","45.9","Â","23,823","54.1","8",NA,NA,NA,NA,NA,NA
"181",1828,"New Jersey","45,570","21,809","47.9","Â","23,753","52.1","8",NA,NA,NA,NA,NA,NA
"191",1828,"New York","270,975","139,412","51.4","20","131,563","48.6","16",NA,NA,NA,NA,NA,NA
"201",1828,"North Carolina","51,747","37,814","73.1","15","13,918","26.9","Â",NA,NA,NA,NA,NA,NA
"211",1828,"Ohio","131,049","67,596","51.6","16","63,453","48.4","Â",NA,NA,NA,NA,NA,NA
"221",1828,"Pennsylvania","152,220","101,457","66.7","28","50,763","33.3","Â",NA,NA,NA,NA,NA,NA
"231",1828,"Rhode Island","3,580","820","22.9","Â","2,755","77.0","4",NA,NA,NA,NA,NA,NA
"241",1828,"South Carolina","11 electors chosen by state legislature and awarded to Andrew Jackson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251",1828,"Tennessee","46,533","44,293","95.2","11","2,240","4.8","Â",NA,NA,NA,NA,NA,NA
"261",1828,"Vermont","32,833","8,350","25.4","Â","24,363","74.2","7",NA,NA,NA,NA,NA,NA
"271",1828,"Virginia","38,924","26,854","69.0","24","12,070","31.0","Â",NA,NA,NA,NA,NA,NA
"28",1828,"","","","","","","","",NA,NA,NA,NA,NA,NA
"29",1828,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",1832,"Alabama","14,291","14,286","100.0","7","5","0.0","Â","Â","Â","Â",NA,NA,NA
"52",1832,"Connecticut","32,833","11,269","34.3","Â","18,155","55.3","8","3,409","10.4","Â",NA,NA,NA
"62",1832,"Delaware","8,386","4,110","49.0","Â","4,276","51.0","3","Â","Â","Â",NA,NA,NA
"72",1832,"Georgia","20,750","20,750","100.0","11","Â","Â","Â","Â","Â","Â",NA,NA,NA
"82",1832,"Illinois","21,481","14,609","68.0","5","6,745","31.4","Â","97","0.5","Â",NA,NA,NA
"92",1832,"Indiana","57,152","31,652","55.4","9","25,473","44.6","Â","27","0.0","Â",NA,NA,NA
"102",1832,"Kentucky","79,741","36,292","45.5","Â","43,449","54.5","15","Â","Â","Â",NA,NA,NA
"112",1832,"Louisiana","6,337","3,908","61.7","5","2,429","38.3","Â","Â","Â","Â",NA,NA,NA
"122",1832,"Maine","62,153","33,978","54.7","10","27,331","44.0","Â","844","1.4","Â",NA,NA,NA
"132",1832,"Maryland","38,316","19,156","50.0","3","19,160","50.0","5","Â","Â","Â",NA,NA,NA
"142",1832,"Massachusetts","67,619","13,933","20.6","Â","31,963","47.3","14","14,692","21.7","Â",NA,NA,NA
"152",1832,"Mississippi","5,750","5,750","100.0","4","Â","Â","Â","Â","Â","Â",NA,NA,NA
"162",1832,"Missouri","5,192","5,192","100.0","4","Â","Â","Â","Â","Â","Â",NA,NA,NA
"172",1832,"New Hampshire","43,793","24,855","56.8","7","18,938","43.2","Â","Â","Â","Â",NA,NA,NA
"182",1832,"New Jersey","47,760","23,826","49.9","8","23,466","49.1","Â","468","1.0","Â",NA,NA,NA
"192",1832,"New York","323,393","168,497","52.1","42","154,896","47.9","Â","Â","Â","Â",NA,NA,NA
"202",1832,"North Carolina","29,799","25,261","84.8","15","4,538","15.2","Â","Â","Â","Â",NA,NA,NA
"212",1832,"Ohio","158,350","81,246","51.3","21","76,566","48.4","Â","538","0.3","Â",NA,NA,NA
"222",1832,"Pennsylvania","157,679","90,973","57.7","30","Â","Â","Â","66,706","42.3","Â",NA,NA,NA
"232",1832,"Rhode Island","5,747","2,051","35.7","Â","2,871","50.0","4","819","14.3","Â",NA,NA,NA
"242",1832,"South Carolina","11 electors chosen by state legislature and awarded to John Floyd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252",1832,"Tennessee","29,425","28,078","95.4","15","1,347","4.6","Â","Â","Â","Â",NA,NA,NA
"262",1832,"Vermont","32,344","7,865","24.3","Â","11,161","34.5","Â","13,112","40.5","7",NA,NA,NA
"272",1832,"Virginia","45,682","34,243","75.0","23","11,436","25.0","Â","3","0.0","Â",NA,NA,NA
"281",1832,"","","","","","","","","","","",NA,NA,NA
"291",1832,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",1836,"Alabama","37,296","20,638","55.3","7","Â","Â","Â","16,658","44.7","Â","Â","Â","Â"
"53",1836,"Arkansas","3,714","2,380","64.1","3","Â","Â","Â","1,334","35.9","Â","Â","Â","Â"
"63",1836,"Connecticut","38,093","19,294","50.6","8","18,799","49.4","Â","Â","Â","Â","Â","Â","Â"
"73",1836,"Delaware","8,895","4,154","46.7","Â","4,736","53.2","3","Â","Â","Â","Â","Â","Â"
"83",1836,"Georgia","47,259","22,778","48.2","Â","Â","Â","Â","24,481","51.8","11","Â","Â","Â"
"93",1836,"Illinois","33,589","18,369","54.7","5","15,220","45.3","Â","Â","Â","Â","Â","Â","Â"
"103",1836,"Indiana","74,423","33,084","44.5","Â","41,339","55.5","9","Â","Â","Â","Â","Â","Â"
"113",1836,"Kentucky","70,090","33,229","47.4","Â","36,861","52.6","15","Â","Â","Â","Â","Â","Â"
"123",1836,"Louisiana","7,425","3,842","51.7","5","Â","Â","Â","3,583","48.3","Â","Â","Â","Â"
"133",1836,"Maine","38,740","22,825","58.9","10","14,803","38.2","Â","Â","Â","Â","Â","Â","Â"
"143",1836,"Maryland","48,119","22,267","46.3","Â","25,852","53.7","10","Â","Â","Â","Â","Â","Â"
"153",1836,"Massachusetts","74,732","33,486","44.8","Â","Â","Â","Â","Â","Â","Â","41,201","55.1","14"
"163",1836,"Michigan","12,052","6,507","54.0","3","5,545","46.0","Â","Â","Â","Â","Â","Â","Â"
"173",1836,"Mississippi","20,079","10,297","51.3","4","Â","Â","Â","9,782","48.7","Â","Â","Â","Â"
"183",1836,"Missouri","18,332","10,995","60.0","4","Â","Â","Â","7,337","40.0","Â","Â","Â","Â"
"193",1836,"New Hampshire","24,925","18,697","75.0","7","6,228","25.0","Â","Â","Â","Â","Â","Â","Â"
"203",1836,"New Jersey","51,729","25,592","49.5","Â","26,137","50.5","8","Â","Â","Â","Â","Â","Â"
"213",1836,"New York","305,343","166,795","54.6","42","138,548","45.4","Â","Â","Â","Â","Â","Â","Â"
"223",1836,"North Carolina","50,153","26,631","53.1","15","Â","Â","Â","23,521","46.9","Â","Â","Â","Â"
"233",1836,"Ohio","202,931","97,122","47.9","Â","105,809","52.1","21","Â","Â","Â","Â","Â","Â"
"243",1836,"Pennsylvania","178,701","91,466","51.2","30","87,235","48.8","Â","Â","Â","Â","Â","Â","Â"
"253",1836,"Rhode Island","5,673","2,962","52.2","4","2,710","47.8","Â","-","Â","Â","Â","Â","Â"
"263",1836,"South Carolina","11 electors chosen by state legislature and awarded to Willie Person Mangum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273",1836,"Tennessee","62,197","26,170","42.1","Â","Â","Â","Â","36,027","57.9","15","Â","Â","Â"
"282",1836,"Vermont","35,099","14,040","40.0","Â","20,994","59.8","7","Â","Â","Â","Â","Â","Â"
"292",1836,"Virginia","53,945","30,556","56.6","23","Â","Â","Â","23,384","43.3","Â","Â","Â","Â"
"30",1836,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",1840,"Alabama","62,511","28,515","45.6","Â","33,996","54.4","7",NA,NA,NA,NA,NA,NA
"54",1840,"Arkansas","11,839","5,160","43.6","Â","6,679","56.4","3",NA,NA,NA,NA,NA,NA
"64",1840,"Connecticut","56,879","31,598","55.6","8","25,281","44.4","Â",NA,NA,NA,NA,NA,NA
"74",1840,"Delaware","10,852","5,967","55.0","3","4,872","44.9","Â",NA,NA,NA,NA,NA,NA
"84",1840,"Georgia","72,322","40,339","55.8","11","31,983","44.2","Â",NA,NA,NA,NA,NA,NA
"94",1840,"Illinois","93,175","45,574","48.9","Â","47,441","50.9","5",NA,NA,NA,NA,NA,NA
"104",1840,"Indiana","117,605","65,280","55.5","9","51,696","44.0","Â",NA,NA,NA,NA,NA,NA
"114",1840,"Kentucky","91,104","58,488","64.2","15","32,616","35.8","Â",NA,NA,NA,NA,NA,NA
"124",1840,"Louisiana","18,912","11,296","59.7","5","7,616","40.3","Â",NA,NA,NA,NA,NA,NA
"134",1840,"Maine","92,802","46,612","50.2","10","46,190","49.8","Â",NA,NA,NA,NA,NA,NA
"144",1840,"Maryland","62,280","33,528","53.8","10","28,752","46.2","Â",NA,NA,NA,NA,NA,NA
"154",1840,"Massachusetts","126,825","72,852","57.4","14","52,355","41.3","Â",NA,NA,NA,NA,NA,NA
"164",1840,"Michigan","44,029","22,933","52.1","3","21,096","47.9","Â",NA,NA,NA,NA,NA,NA
"174",1840,"Mississippi","36,525","19,515","53.4","4","17,010","46.6","Â",NA,NA,NA,NA,NA,NA
"184",1840,"Missouri","52,923","22,954","43.4","Â","29,969","56.6","4",NA,NA,NA,NA,NA,NA
"194",1840,"New Hampshire","59,956","26,310","43.9","Â","32,774","54.7","7",NA,NA,NA,NA,NA,NA
"204",1840,"New Jersey","64,454","33,351","51.7","8","31,034","48.1","Â",NA,NA,NA,NA,NA,NA
"214",1840,"New York","441,543","226,001","51.2","42","212,733","48.2","Â",NA,NA,NA,NA,NA,NA
"224",1840,"North Carolina","80,735","46,567","57.7","15","34,168","42.3","Â",NA,NA,NA,NA,NA,NA
"234",1840,"Ohio","272,890","148,043","54.3","21","123,944","45.4","Â",NA,NA,NA,NA,NA,NA
"244",1840,"Pennsylvania","287,695","144,023","50.1","30","143,672","49.9","Â",NA,NA,NA,NA,NA,NA
"254",1840,"Rhode Island","8,631","5,213","60.4","4","3,263","37.8","Â",NA,NA,NA,NA,NA,NA
"264",1840,"South Carolina","11 electors chosen by state legislature and awarded to Martin van Buren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274",1840,"Tennessee","108,145","60,194","55.7","15","47,951","44.3","Â",NA,NA,NA,NA,NA,NA
"283",1840,"Vermont","50,782","32,440","63.9","7","18,006","35.5","Â",NA,NA,NA,NA,NA,NA
"293",1840,"Virginia","86,394","42,637","49.4","Â","43,757","50.6","23",NA,NA,NA,NA,NA,NA
"301",1840,"","","","","","","","",NA,NA,NA,NA,NA,NA
"31",1840,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",1844,"Alabama","63,403","37,401","59.0","9","26,002","41.0","Â",NA,NA,NA,NA,NA,NA
