"","Year","State","TotalVotes","Candidate1Votes","Candidate1%","Candidate1EV","Candidate2Votes","Candidate2%","Candidate2EV","Candidate3Votes","Candidate3%","Candidate3EV","Candidate4Votes","Candidate4%","Candidate4EV"
"4133",1980,"New York","6,201,959","2,893,831","46.7","41","2,728,372","44.0","","467,801","7.5","Â",NA,NA,NA
"4230",1980,"North Carolina","1,855,833","915,018","49.3","13","875,635","47.2","","52,800","2.8","Â",NA,NA,NA
"4327",1980,"North Dakota","301,545","193,695","64.2","3","79,189","26.3","","23,640","7.8","Â",NA,NA,NA
"4424",1980,"Ohio","4,283,603","2,206,545","51.5","25","1,752,414","40.9","","254,472","5.9","Â",NA,NA,NA
"4523",1980,"Oklahoma","1,149,708","695,570","60.5","8","402,026","35.0","","38,284","3.3","Â",NA,NA,NA
"4623",1980,"Oregon","1,181,516","571,044","48.3","6","456,890","38.7","","112,389","9.5","Â",NA,NA,NA
"4723",1980,"Pennsylvania","4,561,501","2,261,872","49.6","27","1,937,540","42.5","","292,921","6.4","Â",NA,NA,NA
"4823",1980,"Rhode Island","416,072","154,793","37.2","","198,342","47.7","4","59,819","14.4","Â",NA,NA,NA
"4922",1980,"South Carolina","894,071","441,841","49.4","8","430,385","48.1","","14,153","1.6","Â",NA,NA,NA
"5019",1980,"South Dakota","327,703","198,343","60.5","4","103,855","31.7","","21,431","6.5","Â",NA,NA,NA
"5127",1980,"Tennessee","1,617,616","787,761","48.7","10","783,051","48.4","","35,991","2.2","Â",NA,NA,NA
"5223",1980,"Texas","4,541,636","2,510,705","55.3","26","1,881,147","41.4","","111,613","2.5","Â",NA,NA,NA
"5313",1980,"Utah","604,222","439,687","72.8","4","124,266","20.6","","30,284","5.0","Â",NA,NA,NA
"5413",1980,"Vermont","213,299","94,628","44.4","3","81,952","38.4","","31,761","14.9","Â",NA,NA,NA
"5513",1980,"Virginia","1,866,032","989,609","53.0","12","752,174","40.3","","95,418","5.1","Â",NA,NA,NA
"5613",1980,"Washington","1,742,394","865,244","49.7","9","650,193","37.3","","185,073","10.6","Â",NA,NA,NA
"5713",1980,"West Virginia","737,715","334,206","45.3","","367,462","49.8","6","31,691","4.3","Â",NA,NA,NA
"5813",1980,"Wisconsin","2,273,221","1,088,845","47.9","11","981,584","43.2","","160,657","7.1","Â",NA,NA,NA
"599",1980,"Wyoming","176,713","110,700","62.6","3","49,427","28.0","","12,072","6.8","Â",NA,NA,NA
"1033",1984,"Alabama","1,441,713","872,849","60.5","9","551,899","38.3","Â",NA,NA,NA,NA,NA,NA
"1139",1984,"Alaska","207,605","138,377","66.7","3","62,007","29.9","Â",NA,NA,NA,NA,NA,NA
"1240",1984,"Arizona","1,025,897","681,416","66.4","7","333,854","32.5","Â",NA,NA,NA,NA,NA,NA
"1340",1984,"Arkansas","884,406","534,774","60.5","6","338,646","38.3","Â",NA,NA,NA,NA,NA,NA
"1440",1984,"California","9,505,423","5,467,009","57.5","47","3,922,519","41.3","Â",NA,NA,NA,NA,NA,NA
"1540",1984,"Colorado","1,295,380","821,817","63.4","8","454,975","35.1","Â",NA,NA,NA,NA,NA,NA
"1640",1984,"Connecticut","1,466,900","890,877","60.7","8","569,597","38.8","Â",NA,NA,NA,NA,NA,NA
"1740",1984,"Delaware","254,572","152,190","59.8","3","101,656","39.9","Â",NA,NA,NA,NA,NA,NA
"1840",1984,"Dist. of Col.","211,288","29,009","13.7","Â","180,408","85.4","3",NA,NA,NA,NA,NA,NA
"1940",1984,"Florida","4,180,051","2,730,350","65.3","21","1,448,816","34.7","Â",NA,NA,NA,NA,NA,NA
"2040",1984,"Georgia","1,776,120","1,068,722","60.2","12","706,628","39.8","Â",NA,NA,NA,NA,NA,NA
"2140",1984,"Hawaii","335,846","185,050","55.1","4","147,154","43.8","Â",NA,NA,NA,NA,NA,NA
"2240",1984,"Idaho","411,144","297,523","72.4","4","108,510","26.4","Â",NA,NA,NA,NA,NA,NA
"2340",1984,"Illinois","4,819,088","2,707,103","56.2","24","2,086,499","43.3","Â",NA,NA,NA,NA,NA,NA
"2440",1984,"Indiana","2,233,069","1,377,230","61.7","12","841,481","37.7","Â",NA,NA,NA,NA,NA,NA
"2540",1984,"Iowa","1,319,805","703,088","53.3","8","605,620","45.9","Â",NA,NA,NA,NA,NA,NA
"2640",1984,"Kansas","1,021,991","677,296","66.3","7","333,149","32.6","Â",NA,NA,NA,NA,NA,NA
"2740",1984,"Kentucky","1,369,345","821,702","60.0","9","539,539","39.4","Â",NA,NA,NA,NA,NA,NA
"2839",1984,"Louisiana","1,706,822","1,037,299","60.8","10","651,586","38.2","Â",NA,NA,NA,NA,NA,NA
"2939",1984,"Maine","553,144","336,500","60.8","4","214,515","38.8","Â",NA,NA,NA,NA,NA,NA
"3036",1984,"Maryland","1,675,873","879,918","52.5","10","787,935","47.0","Â",NA,NA,NA,NA,NA,NA
"3135",1984,"Massachusetts","2,559,453","1,310,936","51.2","13","1,239,606","48.4","Â",NA,NA,NA,NA,NA,NA
"3233",1984,"Michigan","3,801,658","2,251,571","59.2","20","1,529,638","40.2","Â",NA,NA,NA,NA,NA,NA
"3333",1984,"Minnesota","2,084,449","1,032,603","49.5","Â","1,036,364","49.7","10",NA,NA,NA,NA,NA,NA
"3433",1984,"Mississippi","941,104","582,377","61.9","7","352,192","37.4","Â",NA,NA,NA,NA,NA,NA
"3532",1984,"Missouri","2,122,783","1,274,188","60.0","11","848,583","40.0","Â",NA,NA,NA,NA,NA,NA
"3630",1984,"Montana","384,377","232,450","60.5","4","146,742","38.2","Â",NA,NA,NA,NA,NA,NA
"3730",1984,"Nebraska","652,090","460,054","70.6","5","187,866","28.8","Â",NA,NA,NA,NA,NA,NA
"3829",1984,"Nevada","286,667","188,770","65.8","4","91,655","32.0","Â",NA,NA,NA,NA,NA,NA
"3929",1984,"New Hampshire","389,066","267,051","68.6","4","120,395","30.9","Â",NA,NA,NA,NA,NA,NA
"4028",1984,"New Jersey","3,217,862","1,933,630","60.1","16","1,261,323","39.2","Â",NA,NA,NA,NA,NA,NA
"4134",1984,"New Mexico","514,370","307,101","59.7","5","201,769","39.2","Â",NA,NA,NA,NA,NA,NA
"4231",1984,"New York","6,806,810","3,664,763","53.8","36","3,119,609","45.8","Â",NA,NA,NA,NA,NA,NA
"4328",1984,"North Carolina","2,175,361","1,346,481","61.9","13","824,287","37.9","Â",NA,NA,NA,NA,NA,NA
"4425",1984,"North Dakota","308,971","200,336","64.8","3","104,429","33.8","Â",NA,NA,NA,NA,NA,NA
"4524",1984,"Ohio","4,547,619","2,678,560","58.9","23","1,825,440","40.1","Â",NA,NA,NA,NA,NA,NA
"4624",1984,"Oklahoma","1,255,676","861,530","68.6","8","385,080","30.7","Â",NA,NA,NA,NA,NA,NA
"4724",1984,"Oregon","1,226,527","685,700","55.9","7","536,479","43.7","Â",NA,NA,NA,NA,NA,NA
"4824",1984,"Pennsylvania","4,844,903","2,584,323","53.3","25","2,228,131","46.0","Â",NA,NA,NA,NA,NA,NA
"4923",1984,"Rhode Island","410,492","212,080","51.7","4","197,106","48.0","Â",NA,NA,NA,NA,NA,NA
"5020",1984,"South Carolina","968,529","615,539","63.6","8","344,459","35.6","Â",NA,NA,NA,NA,NA,NA
"5128",1984,"South Dakota","317,867","200,267","63.0","3","116,113","36.5","Â",NA,NA,NA,NA,NA,NA
"5224",1984,"Tennessee","1,711,994","990,212","57.8","11","711,714","41.6","Â",NA,NA,NA,NA,NA,NA
"5314",1984,"Texas","5,397,571","3,433,428","63.6","29","1,949,276","36.1","Â",NA,NA,NA,NA,NA,NA
"5414",1984,"Utah","629,656","469,105","74.5","5","155,369","24.7","Â",NA,NA,NA,NA,NA,NA
"5514",1984,"Vermont","234,561","135,865","57.9","3","95,730","40.8","Â",NA,NA,NA,NA,NA,NA
"5614",1984,"Virginia","2,146,635","1,337,078","62.3","12","796,250","37.1","Â",NA,NA,NA,NA,NA,NA
"5714",1984,"Washington","1,883,910","1,051,670","55.8","10","807,352","42.9","Â",NA,NA,NA,NA,NA,NA
"5814",1984,"West Virginia","735,742","405,483","55.1","6","328,125","44.6","Â",NA,NA,NA,NA,NA,NA
"5910",1984,"Wisconsin","2,211,689","1,198,584","54.2","11","995,740","45.0","Â",NA,NA,NA,NA,NA,NA
"606",1984,"Wyoming","188,968","133,241","70.5","3","53,370","28.2","Â",NA,NA,NA,NA,NA,NA
"1034",1988,"Alabama","1,378,476","815,576","59.2","9","549,506","39.9","Â",NA,NA,NA,NA,NA,NA
"1140",1988,"Alaska","200,116","119,251","59.6","3","72,584","36.3","Â",NA,NA,NA,NA,NA,NA
"1241",1988,"Arizona","1,171,873","702,541","60.0","7","454,029","38.7","Â",NA,NA,NA,NA,NA,NA
"1341",1988,"Arkansas","827,738","466,578","56.4","6","349,237","42.2","Â",NA,NA,NA,NA,NA,NA
"1441",1988,"California","9,887,065","5,054,917","51.1","47","4,702,233","47.6","Â",NA,NA,NA,NA,NA,NA
"1541",1988,"Colorado","1,372,394","728,177","53.1","8","621,453","45.3","Â",NA,NA,NA,NA,NA,NA
"1641",1988,"Connecticut","1,443,394","750,241","52.0","8","676,584","46.9","Â",NA,NA,NA,NA,NA,NA
"1741",1988,"Delaware","249,891","139,639","55.9","3","108,647","43.5","Â",NA,NA,NA,NA,NA,NA
"1841",1988,"Dist. of Col.","192,877","27,590","14.3","Â","159,407","82.6","3",NA,NA,NA,NA,NA,NA
"1941",1988,"Florida","4,302,313","2,618,885","60.9","21","1,656,701","38.5","Â",NA,NA,NA,NA,NA,NA
"2041",1988,"Georgia","1,809,672","1,081,331","59.8","12","714,792","39.5","Â",NA,NA,NA,NA,NA,NA
"2141",1988,"Hawaii","354,461","158,625","44.8","Â","192,364","54.3","4",NA,NA,NA,NA,NA,NA
"2241",1988,"Idaho","408,968","253,881","62.1","4","147,272","36.0","Â",NA,NA,NA,NA,NA,NA
"2341",1988,"Illinois","4,559,120","2,310,939","50.7","24","2,215,940","48.6","Â",NA,NA,NA,NA,NA,NA
"2441",1988,"Indiana","2,168,621","1,297,763","59.8","12","860,643","39.7","Â",NA,NA,NA,NA,NA,NA
"2541",1988,"Iowa","1,225,614","545,355","44.5","Â","670,557","54.7","8",NA,NA,NA,NA,NA,NA
"2641",1988,"Kansas","993,044","554,049","55.8","7","422,636","42.6","Â",NA,NA,NA,NA,NA,NA
"2741",1988,"Kentucky","1,322,517","734,281","55.5","9","580,368","43.9","Â",NA,NA,NA,NA,NA,NA
"2840",1988,"Louisiana","1,628,202","883,702","54.3","10","717,460","44.1","Â",NA,NA,NA,NA,NA,NA
"2940",1988,"Maine","555,035","307,131","55.3","4","243,569","43.9","Â",NA,NA,NA,NA,NA,NA
"3037",1988,"Maryland","1,714,358","876,167","51.1","10","826,304","48.2","Â",NA,NA,NA,NA,NA,NA
"3136",1988,"Massachusetts","2,632,805","1,194,635","45.4","Â","1,401,415","53.2","13",NA,NA,NA,NA,NA,NA
"3234",1988,"Michigan","3,669,163","1,965,486","53.6","20","1,675,783","45.7","Â",NA,NA,NA,NA,NA,NA
"3334",1988,"Minnesota","2,096,790","962,337","45.9","Â","1,109,471","52.9","10",NA,NA,NA,NA,NA,NA
"3434",1988,"Mississippi","931,527","557,890","59.9","7","363,921","39.1","Â",NA,NA,NA,NA,NA,NA
"3533",1988,"Missouri","2,093,713","1,084,953","51.8","11","1,001,619","47.8","Â",NA,NA,NA,NA,NA,NA
"3631",1988,"Montana","365,674","190,412","52.1","4","168,936","46.2","Â",NA,NA,NA,NA,NA,NA
"3731",1988,"Nebraska","661,465","397,956","60.2","5","259,235","39.2","Â",NA,NA,NA,NA,NA,NA
"3830",1988,"Nevada","350,067","206,040","58.9","4","132,738","37.9","Â",NA,NA,NA,NA,NA,NA
"3930",1988,"New Hampshire","451,074","281,537","62.4","4","163,696","36.3","Â",NA,NA,NA,NA,NA,NA
"4029",1988,"New Jersey","3,099,553","1,743,192","56.2","16","1,320,352","42.6","Â",NA,NA,NA,NA,NA,NA
"4135",1988,"New Mexico","521,287","270,341","51.9","5","244,497","46.9","Â",NA,NA,NA,NA,NA,NA
"4232",1988,"New York","6,485,683","3,081,871","47.5","Â","3,347,882","51.6","36",NA,NA,NA,NA,NA,NA
"4329",1988,"North Carolina","2,134,370","1,237,258","58.0","13","890,167","41.7","Â",NA,NA,NA,NA,NA,NA
"4426",1988,"North Dakota","297,261","166,559","56.0","3","127,739","43.0","Â",NA,NA,NA,NA,NA,NA
"4525",1988,"Ohio","4,393,699","2,416,549","55.0","23","1,939,629","44.1","Â",NA,NA,NA,NA,NA,NA
"4625",1988,"Oklahoma","1,171,036","678,367","57.9","8","483,423","41.3","Â",NA,NA,NA,NA,NA,NA
"4725",1988,"Oregon","1,201,694","560,126","46.6","Â","616,206","51.3","7",NA,NA,NA,NA,NA,NA
"4825",1988,"Pennsylvania","4,536,251","2,300,087","50.7","25","2,194,944","48.4","Â",NA,NA,NA,NA,NA,NA
"4924",1988,"Rhode Island","404,620","177,761","43.9","Â","225,123","55.6","4",NA,NA,NA,NA,NA,NA
"5021",1988,"South Carolina","986,009","606,443","61.5","8","370,554","37.6","Â",NA,NA,NA,NA,NA,NA
"5129",1988,"South Dakota","312,991","165,415","52.8","3","145,560","46.5","Â",NA,NA,NA,NA,NA,NA
"5225",1988,"Tennessee","1,636,250","947,233","57.9","11","679,794","41.5","Â",NA,NA,NA,NA,NA,NA
"5315",1988,"Texas","5,427,410","3,036,829","56.0","29","2,352,748","43.3","Â",NA,NA,NA,NA,NA,NA
"5415",1988,"Utah","647,008","428,442","66.2","5","207,343","32.0","Â",NA,NA,NA,NA,NA,NA
"5515",1988,"Vermont","243,328","124,331","51.1","3","115,775","47.6","Â",NA,NA,NA,NA,NA,NA
"5615",1988,"Virginia","2,191,609","1,309,162","59.7","12","859,799","39.2","Â",NA,NA,NA,NA,NA,NA
"5715",1988,"Washington","1,865,253","903,835","48.5","Â","933,516","50.0","10",NA,NA,NA,NA,NA,NA
"5815",1988,"West Virginia*","653,311","310,065","47.5","Â","341,016","52.2","5*",NA,NA,NA,NA,NA,NA
"5911",1988,"Wisconsin","2,191,608","1,047,499","47.8","Â","1,126,794","51.4","11",NA,NA,NA,NA,NA,NA
"607",1988,"Wyoming","176,551","106,867","60.5","3","67,113","38.0","Â",NA,NA,NA,NA,NA,NA
"6112",1988,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"629",1988,"Totals","91,594,809","48,886,097","53.4","426","41,809,074","45.6","111",NA,NA,NA,NA,NA,NA
"930",1992,"Alabama","1,688,060","690,080","40.9","","804,283","47.6","9","183,109","10.8","Â",NA,NA,NA
"1035",1992,"Alaska","258,506","78,294","30.3","","102,000","39.5","3","73,481","28.4","Â",NA,NA,NA
"1141",1992,"Arizona","1,486,975","543,050","36.5","","572,086","38.5","8","353,741","23.8","Â",NA,NA,NA
"1242",1992,"Arkansas","950,653","505,823","53.2","6","337,324","35.5","","99,132","10.4","Â",NA,NA,NA
"1342",1992,"California","11,131,721","5,121,325","46.0","54","3,630,574","32.6","","2,296,006","20.6","Â",NA,NA,NA
"1442",1992,"Colorado","1,569,180","629,681","40.1","8","562,850","35.9","","366,010","23.3","Â",NA,NA,NA
"1542",1992,"Connecticut","1,616,332","682,318","42.2","8","578,313","35.8","","348,771","21.6","Â",NA,NA,NA
"1642",1992,"Delaware","289,735","126,054","43.5","3","102,313","35.3","","59,213","20.4","Â",NA,NA,NA
"1742",1992,"Dist. of Col.","227,572","192,619","84.6","3","20,698","9.1","","9,681","4.3","Â",NA,NA,NA
"1842",1992,"Florida","5,314,392","2,072,698","39.0","","2,173,310","40.9","25","1,053,067","19.8","Â",NA,NA,NA
"1942",1992,"Georgia","2,321,125","1,008,966","43.5","13","995,252","42.9","","309,657","13.3","Â",NA,NA,NA
"2042",1992,"Hawaii","372,842","179,310","48.1","4","136,822","36.7","","53,003","14.2","Â",NA,NA,NA
"2142",1992,"Idaho","482,142","137,013","28.4","","202,645","42.0","4","130,395","27.0","Â",NA,NA,NA
"2242",1992,"Illinois","5,050,157","2,453,350","48.6","22","1,734,096","34.3","","840,515","16.6","Â",NA,NA,NA
"2342",1992,"Indiana","2,305,871","848,420","36.8","","989,375","42.9","12","455,934","19.8","Â",NA,NA,NA
"2442",1992,"Iowa","1,354,607","586,353","43.3","7","504,891","37.3","","253,468","18.7","Â",NA,NA,NA
"2542",1992,"Kansas","1,157,335","390,434","33.7","","449,951","38.9","6","312,358","27.0","Â",NA,NA,NA
"2642",1992,"Kentucky","1,492,900","665,104","44.6","8","617,178","41.3","","203,944","13.7","Â",NA,NA,NA
"2742",1992,"Louisiana","1,790,017","815,971","45.6","9","733,386","41.0","","211,478","11.8","Â",NA,NA,NA
"2841",1992,"Maine","679,499","263,420","38.8","4","206,504","30.4","","206,820","30.4","Â",NA,NA,NA
"2941",1992,"Maryland","1,985,046","988,571","49.8","10","707,094","35.6","","281,414","14.2","Â",NA,NA,NA
"3038",1992,"Massachusetts","2,773,700","1,318,662","47.5","12","805,049","29.0","","630,731","22.7","Â",NA,NA,NA
"3137",1992,"Michigan","4,274,673","1,871,182","43.8","18","1,554,940","36.4","","824,813","19.3","Â",NA,NA,NA
"3235",1992,"Minnesota","2,347,948","1,020,997","43.5","10","747,841","31.9","","562,506","24.0","Â",NA,NA,NA
"3335",1992,"Mississippi","981,793","400,258","40.8","","487,793","49.7","7","85,626","8.7","Â",NA,NA,NA
"3435",1992,"Missouri","2,391,565","1,053,873","44.1","11","811,159","33.9","","518,741","21.7","Â",NA,NA,NA
"3534",1992,"Montana","410,611","154,507","37.6","3","144,207","35.1","","107,225","26.1","Â",NA,NA,NA
"3632",1992,"Nebraska","737,546","216,864","29.4","","343,678","46.6","5","174,104","23.6","Â",NA,NA,NA
"3732",1992,"Nevada","506,318","189,148","37.4","4","175,828","34.7","","132,580","26.2","Â",NA,NA,NA
"3831",1992,"New Hampshire","537,943","209,040","38.9","4","202,484","37.6","","121,337","22.6","Â",NA,NA,NA
"3931",1992,"New Jersey","3,343,594","1,436,206","43.0","15","1,356,865","40.6","","521,829","15.6","Â",NA,NA,NA
"4030",1992,"New Mexico","569,986","261,617","45.9","5","212,824","37.3","","91,895","16.1","Â",NA,NA,NA
"4136",1992,"New York","6,926,925","3,444,450","49.7","33","2,346,649","33.9","","1,090,721","15.7","Â",NA,NA,NA
"4233",1992,"North Carolina","2,611,850","1,114,042","42.7","","1,134,661","43.4","14","357,864","13.7","Â",NA,NA,NA
"4330",1992,"North Dakota","308,133","99,168","32.2","","136,244","44.2","3","71,084","23.1","Â",NA,NA,NA
"4427",1992,"Ohio","4,939,967","1,984,942","40.2","21","1,894,310","38.3","","1,036,426","21.0","Â",NA,NA,NA
"4526",1992,"Oklahoma","1,390,359","473,066","34.0","","592,929","42.6","8","319,878","23.0","Â",NA,NA,NA
"4626",1992,"Oregon","1,462,643","621,314","42.5","7","475,757","32.5","","354,091","24.2","Â",NA,NA,NA
"4726",1992,"Pennsylvania","4,959,810","2,239,164","45.1","23","1,791,841","36.1","","902,667","18.2","Â",NA,NA,NA
"4826",1992,"Rhode Island","453,477","213,299","47.0","4","131,601","29.0","","105,045","23.2","Â",NA,NA,NA
"4925",1992,"South Carolina","1,202,527","479,514","39.9","","577,507","48.0","8","138,872","11.5","Â",NA,NA,NA
"5022",1992,"South Dakota","336,254","124,888","37.1","","136,718","40.7","3","73,295","21.8","Â",NA,NA,NA
"5130",1992,"Tennessee","1,982,638","933,521","47.1","11","841,300","42.4","","199,968","10.1","Â",NA,NA,NA
"5226",1992,"Texas","6,154,018","2,281,815","37.1","","2,496,071","40.6","32","1,354,781","22.0","Â",NA,NA,NA
"5316",1992,"Utah","743,999","183,429","24.7","","322,632","43.4","5","203,400","27.3","Â",NA,NA,NA
"5416",1992,"Vermont","289,701","133,592","46.1","3","88,122","30.4","","65,991","22.8","Â",NA,NA,NA
"5516",1992,"Virginia","2,558,665","1,038,650","40.6","","1,150,517","45.0","13","348,639","13.6","Â",NA,NA,NA
"5616",1992,"Washington","2,288,230","993,037","43.4","11","731,234","32.0","","541,780","23.7","Â",NA,NA,NA
"5716",1992,"West Virginia","683,762","331,001","48.4","5","241,974","35.4","","108,829","15.9","Â",NA,NA,NA
"5816",1992,"Wisconsin","2,531,114","1,041,066","41.1","11","930,855","36.8","","544,479","21.5","Â",NA,NA,NA
"5912",1992,"Wyoming","200,598","68,160","34.0","","79,347","39.6","3","51,263","25.6","Â",NA,NA,NA
"931",1996,"Alabama","1,534,349","662,165","43.2","","769,044","50.1","9","92,149","6.0","Â",NA,NA,NA
"1036",1996,"Alaska","241,620","80,380","33.3","","122,746","50.8","3","26,333","10.9","Â",NA,NA,NA
"1142",1996,"Arizona","1,404,405","653,288","46.5","8","622,073","44.3","","112,072","8.0","Â",NA,NA,NA
"1243",1996,"Arkansas","884,262","475,171","53.7","6","325,416","36.8","","69,884","7.9","Â",NA,NA,NA
"1343",1996,"California","10,019,484","5,119,835","51.1","54","3,828,380","38.2","","697,847","7.0","Â",NA,NA,NA
"1443",1996,"Colorado","1,510,704","671,152","44.4","","691,848","45.8","8","99,629","6.6","Â",NA,NA,NA
"1543",1996,"Connecticut","1,392,614","735,740","52.8","8","483,109","34.7","","139,523","10.0","Â",NA,NA,NA
"1643",1996,"Delaware","270,845","140,355","51.8","3","99,062","36.6","","28,719","10.6","Â",NA,NA,NA
"1743",1996,"Dist. of Col.","185,726","158,220","85.2","3","17,339","9.3","","3,611","1.9","Â",NA,NA,NA
"1843",1996,"Florida","5,303,794","2,546,870","48.0","25","2,244,536","42.3","","483,870","9.1","Â",NA,NA,NA
"1943",1996,"Georgia","2,299,071","1,053,849","45.8","","1,080,843","47.0","13","146,337","6.4","Â",NA,NA,NA
"2043",1996,"Hawaii","360,120","205,012","56.9","4","113,943","31.6","","27,358","7.6","Â",NA,NA,NA
"2143",1996,"Idaho","491,719","165,443","33.6","","256,595","52.2","4","62,518","12.7","Â",NA,NA,NA
"2243",1996,"Illinois","4,311,391","2,341,744","54.3","22","1,587,021","36.8","","346,408","8.0","Â",NA,NA,NA
"2343",1996,"Indiana","2,135,431","887,424","41.6","","1,006,693","47.1","12","224,299","10.5","Â",NA,NA,NA
"2443",1996,"Iowa","1,234,075","620,258","50.3","7","492,644","39.9","","105,159","8.5","Â",NA,NA,NA
"2543",1996,"Kansas","1,074,300","387,659","36.1","","583,245","54.3","6","92,639","8.6","Â",NA,NA,NA
"2643",1996,"Kentucky","1,388,708","636,614","45.8","8","623,283","44.9","","120,396","8.7","Â",NA,NA,NA
"2743",1996,"Louisiana","1,783,959","927,837","52.0","9","712,586","39.9","","123,293","6.9","Â",NA,NA,NA
"2842",1996,"Maine","605,897","312,788","51.6","4","186,378","30.8","","85,970","14.2","Â",NA,NA,NA
"2942",1996,"Maryland","1,780,870","966,207","54.3","10","681,530","38.3","","115,812","6.5","Â",NA,NA,NA
"3039",1996,"Massachusetts","2,556,786","1,571,763","61.5","12","718,107","28.1","","227,217","8.9","Â",NA,NA,NA
"3138",1996,"Michigan","3,848,844","1,989,653","51.7","18","1,481,212","38.5","","336,670","8.7","Â",NA,NA,NA
"3236",1996,"Minnesota","2,192,640","1,120,438","51.1","10","766,476","35.0","","257,704","11.8","Â",NA,NA,NA
"3336",1996,"Mississippi","893,857","394,022","44.1","","439,838","49.2","7","52,222","5.8","Â",NA,NA,NA
"3436",1996,"Missouri","2,158,065","1,025,935","47.5","11","890,016","41.2","","217,188","10.1","Â",NA,NA,NA
"3535",1996,"Montana","407,261","167,922","41.3","","179,652","44.1","3","55,229","13.6","Â",NA,NA,NA
"3633",1996,"Nebraska","677,415","236,761","35.0","","363,467","53.7","5","71,278","10.5","Â",NA,NA,NA
"3733",1996,"Nevada","464,279","203,974","43.9","4","199,244","42.9","","43,986","9.5","Â",NA,NA,NA
"3832",1996,"New Hampshire","499,175","246,214","49.3","4","196,532","39.4","","48,390","9.7","Â",NA,NA,NA
"3932",1996,"New Jersey","3,075,807","1,652,329","53.7","15","1,103,078","35.9","","262,134","8.5","Â",NA,NA,NA
"4031",1996,"New Mexico","556,074","273,495","49.2","5","232,751","41.9","","32,257","5.8","Â",NA,NA,NA
"4137",1996,"New York","6,316,129","3,756,177","59.5","33","1,933,492","30.6","","503,458","8.0","Â",NA,NA,NA
"4234",1996,"North Carolina","2,515,807","1,107,849","44.0","","1,225,938","48.7","14","168,059","6.7","Â",NA,NA,NA
"4331",1996,"North Dakota","266,411","106,905","40.1","","125,050","46.9","3","32,515","12.2","Â",NA,NA,NA
"4428",1996,"Ohio","4,534,434","2,148,222","47.4","21","1,859,883","41.0","","483,207","10.7","Â",NA,NA,NA
"4527",1996,"Oklahoma","1,206,713","488,105","40.4","","582,315","48.3","8","130,788","10.8","Â",NA,NA,NA
"4627",1996,"Oregon","1,377,760","649,641","47.2","7","538,152","39.1","","121,221","8.8","Â",NA,NA,NA
"4727",1996,"Pennsylvania","4,506,118","2,215,819","49.2","23","1,801,169","40.0","","430,984","9.6","Â",NA,NA,NA
"4827",1996,"Rhode Island","390,284","233,050","59.7","4","104,683","26.8","","43,723","11.2","Â",NA,NA,NA
"4926",1996,"South Carolina","1,151,689","506,283","44.0","","573,458","49.8","8","64,386","5.6","Â",NA,NA,NA
"5023",1996,"South Dakota","323,826","139,333","43.0","","150,543","46.5","3","31,250","9.7","Â",NA,NA,NA
"5131",1996,"Tennessee","1,894,105","909,146","48.0","11","863,530","45.6","","105,918","5.6","Â",NA,NA,NA
"5227",1996,"Texas","5,611,644","2,459,683","43.8","","2,736,167","48.8","32","378,537","6.7","Â",NA,NA,NA
"5317",1996,"Utah","665,629","221,633","33.3","","361,911","54.4","5","66,461","10.0","Â",NA,NA,NA
"5417",1996,"Vermont","258,449","137,894","53.4","3","80,352","31.1","","31,024","12.0","Â",NA,NA,NA
"5517",1996,"Virginia","2,416,642","1,091,060","45.1","","1,138,350","47.1","13","159,861","6.6","Â",NA,NA,NA
"5617",1996,"Washington","2,253,837","1,123,323","49.8","11","840,712","37.3","","201,003","8.9","Â",NA,NA,NA
"5717",1996,"West Virginia","636,459","327,812","51.5","5","233,946","36.8","","71,639","11.3","Â",NA,NA,NA
"5817",1996,"Wisconsin","2,196,169","1,071,971","48.8","11","845,029","38.5","","227,339","10.4","Â",NA,NA,NA
"5913",1996,"Wyoming","211,571","77,934","36.8","","105,388","49.8","3","25,928","12.3","Â",NA,NA,NA
"932",2000,"Alabama","1,666,272","941,173","56.5","9","692,611","41.6","","18,323","1.1","",NA,NA,NA
"1037",2000,"Alaska","285,560","167,398","58.6","3","79,004","27.7","","28,747","10.1","",NA,NA,NA
"1143",2000,"Arizona","1,532,016","781,652","51.0","8","685,341","44.7","","45,645","3.0","",NA,NA,NA
"1244",2000,"Arkansas","921,781","472,940","51.3","6","422,768","45.9","","13,421","1.5","",NA,NA,NA
"1344",2000,"California","10,965,856","4,567,429","41.7","","5,861,203","53.4","54","418,707","3.8","",NA,NA,NA
"1444",2000,"Colorado","1,741,368","883,748","50.8","8","738,227","42.4","","91,434","5.3","",NA,NA,NA
"1544",2000,"Connecticut","1,459,525","561,094","38.4","","816,015","55.9","8","64,452","4.4","",NA,NA,NA
"1644",2000,"Delaware","327,622","137,288","41.9","","180,068","55.0","3","8,307","2.5","",NA,NA,NA
"1744",2000,"Dist. of Col.*","201,894","18,073","9.0","","171,923","85.2","2*","10,576","5.2","",NA,NA,NA
"1844",2000,"Florida","5,963,110","2,912,790","48.8","25","2,912,253","48.8","","97,488","1.6","",NA,NA,NA
"1944",2000,"Georgia","2,596,645","1,419,720","54.7","13","1,116,230","43.0","","13,273","0.5","",NA,NA,NA
